lat,lon,mua_vu_encoded,nam_offset,gan_bien,tổng số giờ nắng,tổng lượng mưa,độ ẩm trung bình,nhiệt độ trung bình,dien_tich,dien_tich_lag1_ss,dien_tich_lag2_ss,dien_tich_roll2_ss,dien_tich_cross,nang_suat_lag1_ss,nang_suat_lag2_ss,nang_suat_roll2_ss,nang_suat_cross,nang_suat
9.2833,105.7167,1,28,1,1999.21,1825.4,83.02,27.63,101.85168,99.2,102.831,101.0155,43.25,5.855947580645161,5.92732736237127,5.891637471508215,7.7616184971098265,6.2028570368206
9.2833,105.7167,1,29,1,1972.74,1729.5,82.13,27.98,99.69,101.85168,99.2,100.52583999999999,45.03,6.2028570368206,5.855947580645161,6.02940230873288,7.758827448367755,6.258601665162002
9.6,105.9667,0,0,1,1652.56,137.5,76.55,26.21,45.0,,,,,,,,,4.806666666666667
9.6,105.9667,0,1,1,1548.63,263.1,79.69,25.38,61.4,45.0,,45.0,98.0,4.806666666666667,,4.806666666666667,4.544897959183674,4.304560260586319
9.6,105.9667,0,2,1,1520.7,569.4,81.47,25.47,69.3,61.4,45.0,53.2,148.8,4.304560260586319,4.806666666666667,4.555613463626493,3.370967741935484,4.262626262626262
9.6,105.9667,0,3,1,1699.62,127.6,75.58,27.27,119.7,69.3,61.4,65.35,140.3,4.262626262626262,4.304560260586319,4.28359326160629,3.682109764789736,4.52046783625731
9.6,105.9667,0,4,1,1499.13,531.4,81.93,25.87,137.2,119.7,69.3,94.5,150.3,4.52046783625731,4.262626262626262,4.391547049441786,4.184963406520293,4.531341107871721
9.6,105.9667,0,5,1,1546.79,451.9,80.55,25.69,132.0,137.2,119.7,128.45,168.3,4.531341107871721,4.52046783625731,4.525904472064515,4.160427807486631,4.8530303030303035
9.6,105.9667,0,6,1,1544.54,529.2,82.45,25.86,134.6,132.0,137.2,134.60000000000002,171.3,4.8530303030303035,4.531341107871721,4.692185705451012,4.302393461762988,4.474739970282318
9.6,105.9667,0,7,1,1612.88,159.3,76.5,25.88,140.6,134.6,132.0,133.3,159.6,4.474739970282318,4.8530303030303035,4.663885136656311,4.419799498746867,5.0455192034139404
9.6,105.9667,0,8,1,1635.26,367.8,79.35,26.37,138.6,140.6,134.6,137.60000000000002,165.9,5.0455192034139404,4.474739970282318,4.760129586848129,4.532248342374924,5.10966810966811
9.6,105.9667,0,9,1,1654.25,150.1,77.6,26.08,136.5,138.6,140.6,139.60000000000002,170.7,5.10966810966811,5.0455192034139404,5.077593656541025,4.432923257176333,5.238095238095238
9.6,105.9667,0,10,1,1686.3,85.9,76.3,26.25,136.0,136.5,138.6,137.55,154.2,5.238095238095238,5.10966810966811,5.173881673881674,4.67833981841764,5.533088235294118
9.6,105.9667,0,11,1,1524.83,444.8,80.83,25.93,139.7,136.0,136.5,136.25,154.4,5.533088235294118,5.238095238095238,5.385591736694678,4.948834196891192,5.383679312813172
9.6,105.9667,0,12,1,1615.45,214.9,79.29,26.27,140.7,139.7,136.0,137.85000000000002,160.9,5.383679312813172,5.533088235294118,5.458383774053645,4.707271597265382,5.009950248756219
9.6,105.9667,0,13,1,1567.1,208.8,78.2,25.89,139.3,140.7,139.7,140.2,158.9,5.009950248756219,5.383679312813172,5.196814780784695,5.027690371302706,5.906676238334529
9.6,105.9667,0,14,1,1515.46,491.4,83.42,25.53,138.6,139.3,140.7,140.0,160.7,5.906676238334529,5.009950248756219,5.4583132435453745,5.111387678904792,5.857142857142857
9.6,105.9667,0,15,1,1594.68,178.7,78.35,26.5,139.6,138.6,139.3,138.95000000000002,169.1,5.857142857142857,5.906676238334529,5.881909547738693,5.0396215257244235,6.249283667621777
9.6,105.9667,0,16,1,1426.12,656.9,81.78,25.63,138.3,139.6,138.6,139.10000000000002,188.2,6.249283667621777,5.857142857142857,6.053213262382316,5.287460148777896,6.391901663051337
9.6,105.9667,0,17,1,1529.85,399.4,81.22,26.2,138.8,138.3,139.6,138.95000000000002,187.1,6.391901663051337,6.249283667621777,6.320592665336557,5.894708711918761,6.554755043227665
9.6,105.9667,0,18,1,1570.47,322.4,79.02,26.61,141.3,138.8,138.3,138.55,200.5,6.554755043227665,6.391901663051337,6.473328353139501,6.057855361596009,6.604387827317764
9.6,105.9667,0,19,1,1573.42,200.2,79.18,25.49,141.3,141.3,138.8,140.05,200.7,6.604387827317764,6.554755043227665,6.579571435272714,5.621325361235676,6.803255484784146
